ID;Scientific Name;Common Name;Where Listed;Region  ;ESA Listing Status  ;Group
297;Quadrula cylindrica strigillata;Rough rabbitsfoot;Wherever found;5;Endangered;Clams
298;Percina jenkinsi;Conasauga logperch;Wherever found;4;Endangered;Fishes
299;Gymnogyps californianus;California condor;Pacific Northwest NEP;8;Experimental Population, Non-Essential;Birds
300;Pyrgulopsis bernardina;San Bernardino springsnail;Wherever found;2;Threatened;Snails
301;Oceanodroma castro;Band-rumped storm-petrel;USA (HI);1;Endangered;Birds
302;Vulpes vulpes necator;Sierra Nevada red fox;;8;Endangered;Mammals
303;Ambystoma tigrinum stebbinsi;Sonora tiger Salamander;Wherever found;2;Endangered;Amphibians
304;Lampsilis virescens;Alabama lampmussel;"Wherever found; Except where listed as Experimental Populations";4;Endangered;Clams
305;Myotis septentrionalis;Northern Long-Eared Bat;Wherever found;3;Threatened;Mammals
306;Cyprogenia stegaria;Fanshell;"U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))";4;Experimental Population, Non-Essential;Clams
307;Pipilo crissalis eremophilus;Inyo California towhee;Wherever found;8;Threatened;Birds
308;Enhydra lutris kenyoni;Northern Sea Otter;Southwest Alaska DPS;7;Threatened;Mammals
309;Oncorhynchus gilae;Gila trout;Wherever found;2;Threatened;Fishes
310;Fusconaia escambia;Narrow pigtoe;Wherever found;4;Threatened;Clams
311;Hemistena lata;Cracking pearlymussel;"U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))";4;Experimental Population, Non-Essential;Clams
312;Leptoxis ampla;Round rocksnail;Wherever found;4;Threatened;Snails
313;Lycaeides argyrognomon lotis;Lotis blue butterfly;Wherever found;8;Endangered;Insects
314;Notropis topeka (=tristis);Topeka shiner;Wherever found, except where listed as an experimental population;6;Endangered;Fishes
315;Branchinecta lynchi;Vernal pool fairy shrimp;Wherever found;8;Threatened;Crustaceans
316;Medionidus simpsonianus;Ochlockonee moccasinshell;Wherever found;4;Endangered;Clams
317;Lanx sp.;Banbury Springs limpet;Wherever found;1;Endangered;Snails
318;Epioblasma brevidens;Cumberlandian combshell;"Wherever found; Except where listed as Experimental Populations";4;Endangered;Clams
319;Plethobasus cicatricosus;White wartyback (pearlymussel);Wherever found;4;Endangered;Clams
320;Plethobasus cooperianus;Orangefoot pimpleback (pearlymussel);"U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))";4;Experimental Population, Non-Essential;Clams
321;Epioblasma triquetra;Snuffbox mussel;Wherever found;3;Endangered;Clams
322;Lampsilis perovalis;Orangenacre mucket;Wherever found;4;Threatened;Clams
323;Gymnomyza samoensis;Mao (= maomao) (honeyeater);Wherever found;1;Endangered;Birds
324;Gila elegans;Bonytail;Wherever found;6;Endangered;Fishes
325;Thamnophis rufipunctatus;Narrow-headed gartersnake;Wherever found;2;Threatened;Reptiles
326;Epioblasma brevidens;Cumberlandian combshell;"U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))";4;Experimental Population, Non-Essential;Clams
327;Eretmochelys imbricata;Hawksbill sea turtle;Wherever found;4;Endangered;Reptiles
328;Rhadine exilis;[no common name] Beetle;Wherever found;2;Endangered;Insects
329;Cyprinodon nevadensis pectoralis;Warm Springs pupfish;Wherever found;8;Endangered;Fishes
330;Quadrula cylindrica cylindrica;Rabbitsfoot;Wherever found;4;Threatened;Clams
331;Epioblasma florentina walkeri (=E. walkeri);Tan riffleshell;Wherever found;4;Endangered;Clams
332;Microtus pennsylvanicus dukecampbelli;Florida salt marsh vole;Wherever found;4;Endangered;Mammals
333;Cambarus zophonastes;Hell Creek Cave crayfish;Wherever found;4;Endangered;Crustaceans
334;Palaemonias alabamae;Alabama cave shrimp;Wherever found;4;Endangered;Crustaceans
335;Neonympha mitchellii mitchellii;Mitchell's satyr Butterfly;Wherever found;3;Endangered;Insects
336;Lepyrium showalteri;Flat pebblesnail;Wherever found;4;Endangered;Snails
337;Canis rufus;Red wolf;U.S.A. (portions of NC and TN);4;Experimental Population, Non-Essential;Mammals
338;Epioblasma brevidens;Cumberlandian combshell;"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL";4;Experimental Population, Non-Essential;Clams
339;Plagopterus argentissimus;Woundfin;Gila R. drainage, AZ, NM;6;Experimental Population, Non-Essential;Fishes
340;Corynorhinus (=Plecotus) townsendii virginianus;Virginia big-eared bat;Wherever found;5;Endangered;Mammals
341;Quadrula sparsa;Appalachian monkeyface (pearlymussel);"USA (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))";4;Experimental Population, Non-Essential;Clams
342;Epioblasma capsaeformis;Oyster mussel;"Wherever found; Except where listed as Experimental Populations";4;Endangered;Clams
343;Rallus owstoni;Guam rail;Rota;1;Experimental Population, Non-Essential;Birds
344;Fusconaia burkei;Tapered pigtoe;Wherever found;4;Threatened;Clams
345;Etheostoma etowahae;Etowah darter;Wherever found;4;Endangered;Fishes
346;Amazona vittata;Puerto Rican parrot;Wherever found;4;Endangered;Birds
347;Elassoma alabamae;Spring pygmy sunfish;Wherever found;4;Threatened;Fishes
348;Peromyscus polionotus ammobates;Alabama beach mouse;Wherever found;4;Endangered;Mammals
349;Drosophila aglaia;Hawaiian picture-wing fly;Wherever found;1;Endangered;Insects
350;Scaphirhynchus suttkusi;Alabama sturgeon;Wherever found;4;Endangered;Fishes
351;Palmeria dolei;crested honeycreeper (Akohekohe);Wherever found;1;Endangered;Birds
352;Batrisodes texanus;Coffin Cave mold beetle;Wherever found;2;Endangered;Insects
353;Polysticta stelleri;Steller's Eider;AK breeding pop.;7;Threatened;Birds
354;Peromyscus gossypinus allapaticola;Key Largo cotton mouse;Wherever found;4;Endangered;Mammals
355;Pleurobema curtum;Black clubshell;Wherever found;4;Endangered;Clams
356;Tryonia cheatumi;Phantom Tryonia;Wherever found;2;Endangered;Snails
357;Lirceus usdagalun;Lee County cave isopod;Wherever found;5;Endangered;Crustaceans
358;Peromyscus polionotus peninsularis;St. Andrew beach mouse;Wherever found;4;Endangered;Mammals
359;Pseudonestor xanthophrys;Maui parrotbill (Kiwikiu);Wherever found;1;Endangered;Birds
360;Medionidus penicillatus;Gulf moccasinshell;Wherever found;4;Endangered;Clams
361;Caretta caretta;Loggerhead sea turtle;Northwest Atlantic Ocean DPS;4;Threatened;Reptiles
362;Percina aurolineata;Goldline darter;Wherever found;4;Threatened;Fishes
363;Zosterops conspicillatus conspicillatus;Bridled white-eye;Wherever found;1;Endangered;Birds
364;Notropis mekistocholas;Cape Fear shiner;Wherever found;4;Endangered;Fishes
365;Potamilus inflatus;Inflated heelsplitter;Wherever found;4;Threatened;Clams
366;Etheostoma chermocki;Vermilion darter;Wherever found;4;Endangered;Fishes
367;Thamnophis gigas;Giant garter snake;Wherever found;8;Threatened;Reptiles
368;Alasmidonta raveneliana;Appalachian elktoe;Wherever found;4;Endangered;Clams
369;Rallus owstoni;Guam rail;Wherever found, except where listed as an experimental population;1;Endangered;Birds
370;Lioplax cyclostomaformis;Cylindrical lioplax (snail);Wherever found;4;Endangered;Snails
371;Oncorhynchus apache;Apache trout;Wherever found;2;Threatened;Fishes
372;Eremophila alpestris strigata;Streaked Horned lark;Wherever found;1;Threatened;Birds
373;Leopardus (=Felis) wiedii;Margay;Wherever found;2;Endangered;Mammals
374;Hemistena lata;Cracking pearlymussel;"Wherever found; Except where listed as Experimental Populations";4;Endangered;Clams
375;Hylaeus assimulans;Assimulans yellow-faced bee;Wherever found;1;Endangered;Insects
376;Palaemonias ganteri;Kentucky cave shrimp;Wherever found;4;Endangered;Crustaceans
377;Megalagrion nigrohamatum nigrolineatum;Blackline Hawaiian damselfly;Wherever found;1;Endangered;Insects
378;Ptychocheilus lucius;Colorado pikeminnow (=squawfish);Salt and Verde R. drainages, AZ;6;Experimental Population, Non-Essential;Fishes
379;Campeloma decampi;Slender campeloma;Wherever found;4;Endangered;Snails
380;Physa natricina;Snake River physa snail;Wherever found;1;Endangered;Snails
381;Gila bicolor ssp.;Hutton tui chub;Wherever found;1;Threatened;Fishes
382;Amphispiza belli clementeae;San Clemente sage sparrow;Wherever found;8;Threatened;Birds
383;Hylaeus kuakea;Hawaiian yellow-faced bee;Wherever found;1;Endangered;Insects
384;Elliptio spinosa;Altamaha Spinymussel;Wherever found;4;Endangered;Clams
385;Adelocosa anops;Kauai cave wolf or pe'e pe'e maka 'ole spider;Wherever found;1;Endangered;Arachnids
386;Eleutherodactylus juanariveroi;Llanero Coqui;Wherever found;4;Endangered;Amphibians
387;Trichechus manatus;West Indian Manatee;Wherever found;4;Threatened;Mammals
388;Rallus obsoletus [=longirostris] yumanensis;Yuma Ridgways (clapper) rail;Wherever found;2;Endangered;Birds
389;Gopherus polyphemus;Gopher tortoise;West of Mobile and Tombigbee Rivers;4;Threatened;Reptiles
390;Noturus crypticus;Chucky Madtom;Wherever found;4;Endangered;Fishes
391;Helminthoglypta walkeriana;Morro shoulderband (=Banded dune) snail;Wherever found;8;Endangered;Snails
392;Etheostoma wapiti;Boulder darter;Shoal Creek;4;Experimental Population, Non-Essential;Fishes
393;Thamnophis sirtalis tetrataenia;San Francisco garter snake;Wherever found;8;Endangered;Reptiles
394;Chilabothrus granti;Virgin Islands tree boa;Wherever found;4;Endangered;Reptiles
395;Eurycea nana;San Marcos salamander;Wherever found;2;Threatened;Amphibians
396;Clemmys muhlenbergii;bog turtle;Wherever found, except GA, NC, SC, TN, VA;5;Threatened;Reptiles
397;Fusconaia cuneolus;Finerayed pigtoe;"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL";4;Experimental Population, Non-Essential;Clams
398;Orconectes shoupi;Nashville crayfish;Wherever found;4;Endangered;Crustaceans
399;Euproserpinus euterpe;Kern primrose sphinx moth;Wherever found;8;Threatened;Insects
400;Pleurobema plenum;Rough pigtoe;Wherever found;4;Endangered;Clams
401;Zapus hudsonius preblei;Preble's meadow jumping mouse;wherever found;6;Threatened;Mammals
402;Centrocercus minimus;Gunnison sage-grouse;Wherever found;6;Threatened;Birds
403;Ptychobranchus jonesi;Southern kidneyshell;Wherever found;4;Endangered;Clams
404;Stygobromus (=Stygonectes) pecki;Peck's cave amphipod;Wherever found;2;Endangered;Crustaceans
405;Leopardus (=Felis) pardalis;Ocelot;wherever found;2;Endangered;Mammals
406;Leptonycteris nivalis;Mexican long-nosed bat;Wherever found;2;Endangered;Mammals
407;Ammodramus maritimus mirabilis;Cape Sable seaside sparrow;Wherever found;4;Endangered;Birds
408;Epioblasma florentina curtisii;Curtis pearlymussel;Wherever found;3;Endangered;Clams
409;Oarisma poweshiek;Poweshiek skipperling;Wherever found;3;Endangered;Insects
410;Charadrius melodus;Piping Plover;[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.);3;Endangered;Birds
411;Vermivora bachmanii;Bachman's warbler (=wood);Wherever found;4;Endangered;Birds
412;Lasmigona decorata;Carolina heelsplitter;Wherever found;4;Endangered;Clams
413;Fusconaia cor;Shiny pigtoe;"U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))";4;Experimental Population, Non-Essential;Clams
414;Oncorhynchus clarkii stomias;Greenback Cutthroat trout;Wherever found;6;Threatened;Fishes
415;Antilocapra americana sonoriensis;Sonoran pronghorn;U.S.A. (AZ), Mexico;2;Experimental Population, Non-Essential;Mammals
416;Rana sevosa;dusky gopher frog;Wherever found;4;Endangered;Amphibians
417;Gila seminuda (=robusta);Virgin River Chub;Wherever found;6;Endangered;Fishes
418;Cryptobranchus alleganiensis alleganiensis;Eastern Hellbender Missouri DPS;Missouri DPS;3;Endangered;Amphibians
419;Gila bicolor ssp. snyderi;Owens Tui Chub;Wherever found;8;Endangered;Fishes
420;Epioblasma obliquata obliquata;Purple Cat's paw (=Purple Cat's paw pearlymussel);"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL";3;Experimental Population, Non-Essential;Clams
421;Hybognathus amarus;Rio Grande Silvery Minnow;Wherever found, except where listed as an experimental population;2;Endangered;Fishes
422;Noturus trautmani;Scioto madtom;Wherever found;3;Endangered;Fishes
423;Megalagrion oceanicum;Oceanic Hawaiian damselfly;Wherever found;1;Endangered;Insects
424;Ptychobranchus greenii;Triangular Kidneyshell;Wherever found;4;Endangered;Clams
425;Thomomys mazama yelmensis;Yelm pocket gopher;Wherever found;1;Threatened;Mammals
426;Gymnogyps californianus;California condor;U.S.A. only, except where listed as an experimental population;8;Endangered;Birds
427;Pegias fabula;Littlewing pearlymussel;Wherever found;4;Endangered;Clams
428;Grus americana;Whooping crane;U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY);2;Experimental Population, Non-Essential;Birds
429;Drosophila musaphilia;Hawaiian picture-wing fly;Wherever found;1;Endangered;Insects
430;Catostomus santaanae;Santa Ana sucker;3 CA river basins;8;Threatened;Fishes
431;Boloria acrocnema;Uncompahgre fritillary butterfly;Wherever found;6;Endangered;Insects
432;Puffinus auricularis newelli;Newell's Townsend's shearwater;Wherever found;1;Threatened;Birds
433;Ameiva polops;St. Croix ground lizard;Wherever found;4;Endangered;Reptiles
434;Callophrys mossii bayensis;San Bruno elfin butterfly;Wherever found;8;Endangered;Insects
435;Quadrula sparsa;Appalachian monkeyface (pearlymussel);Wherever found;5;Endangered;Clams
436;Quadrula intermedia;Cumberland monkeyface (pearlymussel);"Wherever found; Except where listed as Experimental Populations";4;Endangered;Clams
437;Samoana fragilis;Fragile tree snail;Wherever found;1;Endangered;Snails
438;Etheostoma chienense;Relict darter;Wherever found;4;Endangered;Fishes
439;Zosterops rotensis;Rota bridled White-eye;Wherever found;1;Endangered;Birds
440;Amblema neislerii;Fat threeridge (mussel);Wherever found;4;Endangered;Clams
441;Etheostoma percnurum;Duskytail darter;Wherever found;4;Endangered;Fishes
442;Villosa trabalis;Cumberland bean (pearlymussel);"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL";4;Experimental Population, Non-Essential;Clams
443;Rana sierrae;Sierra Nevada Yellow-legged Frog;Wherever found;8;Endangered;Amphibians
444;Noturus furiosus;Carolina madtom;Wherever found;4;Endangered;Fishes
445;Potamilus capax;Fat pocketbook;Wherever found;4;Endangered;Clams
446;Peromyscus polionotus allophrys;Choctawhatchee beach mouse;Wherever found;4;Endangered;Mammals
447;Neoseps reynoldsi;Sand skink;Wherever found;4;Threatened;Reptiles
448;Peromyscus polionotus niveiventris;Southeastern beach mouse;wherever found;4;Threatened;Mammals
449;Gallinula chloropus guami;Mariana common moorhen;Wherever found;1;Endangered;Birds
450;Lepidomeda mollispinis pratensis;Big Spring spinedace;Wherever found;8;Threatened;Fishes
451;Lepidomeda vittata;Little Colorado spinedace;Wherever found;2;Threatened;Fishes
452;Epioblasma turgidula;Turgid blossom (pearlymussel);"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL";4;Experimental Population, Non-Essential;Clams
453;Rallus longirostris levipes;Light-footed clapper rail;Wherever found;8;Endangered;Birds
454;Plethobasus cooperianus;Orangefoot pimpleback (pearlymussel);Wherever found;4;Endangered;Clams
455;Desmocerus californicus dimorphus;Valley elderberry longhorn beetle;Wherever found;8;Threatened;Insects
456;Stygoparnus comalensis;Comal Springs dryopid beetle;Wherever found;2;Endangered;Insects
457;Rana draytonii;California red-legged frog;Wherever found;8;Threatened;Amphibians
458;Cottus paulus (=pygmaeus);Pygmy Sculpin;Wherever found;4;Threatened;Fishes
459;Fusconaia rotulata;Round Ebonyshell;Wherever found;4;Endangered;Clams
460;Ovis canadensis sierrae;Sierra Nevada bighorn sheep;Sierra Nevada;8;Endangered;Mammals
461;Pyrgulopsis texana;Phantom Springsnail;Wherever found;2;Endangered;Snails
462;Loxops caeruleirostris;Akekee;Wherever found;1;Endangered;Birds
463;Notropis girardi;Arkansas River shiner;Arkansas River Basin (AR, KS, NM, OK, TX);2;Threatened;Fishes
464;Gambusia georgei;San Marcos gambusia;Wherever found;2;Endangered;Fishes
465;Vulpes macrotis mutica;San Joaquin kit fox;wherever found;8;Endangered;Mammals
466;Cyprinella formosa;Beautiful shiner;Wherever found;2;Threatened;Fishes
467;Eumeces egregius lividus;Bluetail mole skink;Wherever found;4;Threatened;Reptiles
468;Cicurina vespera;Government Canyon Bat Cave Meshweaver;Wherever found;2;Endangered;Arachnids
469;Athearnia anthonyi;Anthony's riversnail;"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL";4;Experimental Population, Non-Essential;Snails
470;Anaxyrus californicus;Arroyo (=arroyo southwestern) toad;Wherever found;8;Endangered;Amphibians
471;Eua zebrina;Snail [no common name];Wherever found;1;Endangered;Snails
472;Icaricia icarioides fenderi;Fender's blue butterfly;Wherever found;1;Endangered;Insects
473;Plethodon nettingi;Cheat Mountain salamander;Wherever found;5;Threatened;Amphibians
474;Zapus hudsonius luteus;New Mexico meadow jumping mouse;Wherever found;2;Endangered;Mammals
475;Bufo houstonensis;Houston toad;Wherever found;2;Endangered;Amphibians
476;Poeciliopsis occidentalis;Gila topminnow (incl. Yaqui);Wherever found;2;Endangered;Fishes
477;Cyprinodon elegans;Comanche Springs pupfish;Wherever found;2;Endangered;Fishes
478;Brachylagus idahoensis;Columbia Basin Pygmy Rabbit;Columbia Basin DPS;1;Endangered;Mammals
479;Lednia tumana;Meltwater lednian stonefly;Wherever found;6;Threatened;Insects
480;Numenius borealis;Eskimo curlew;Wherever found;7;Endangered;Birds
481;Halcyon cinnamomina cinnamomina;Guam Micronesian kingfisher;Wherever found;1;Endangered;Birds
482;Emoia slevini;Slevin's skink;Wherever found;1;Endangered;Reptiles
483;Gopherus agassizii;Desert tortoise;AZ south and east of Colorado R., and Mexico, when found outside of Mexico or said range in AZ;8;Similarity of Appearance (Threatened);Reptiles
484;Elliptio lanceolata;Yellow lance;Wherever found;4;Threatened;Clams
485;Toxolasma cylindrellus;Pale lilliput (pearlymussel);Wherever found;4;Endangered;Clams
486;Scaphirhynchus platorynchus;Shovelnose Sturgeon;Wherever found;6;Similarity of Appearance (Threatened);Fishes
487;Polyborus plancus audubonii;Audubon's crested caracara;FL pop.;4;Threatened;Birds
488;Cambarus cracens;Slenderclaw crayfish;Wherever found;4;Endangered;Crustaceans
489;Mesodon clarki nantahala;noonday snail;Wherever found;4;Threatened;Snails
490;Eleutherodactylus jasperi;Golden coqui;Wherever found;4;Threatened;Amphibians
491;Gila bicolor ssp. mohavensis;Mohave tui chub;Wherever found;8;Endangered;Fishes
492;Etheostoma nuchale;Watercress darter;Wherever found;4;Endangered;Fishes
493;Noturus baileyi;Smoky madtom;Tellico River, TN;4;Experimental Population, Non-Essential;Fishes
494;Bufo hemiophrys baxteri;Wyoming Toad;Wherever found;6;Endangered;Amphibians
495;Lemiox rimosus;Birdwing pearlymussel;"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert, and Lauderdale Counties, AL";4;Experimental Population, Non-Essential;Clams
496;Somateria fischeri;Spectacled eider;Wherever found;7;Threatened;Birds
497;Rana muscosa;Mountain yellow-legged frog;Southern California DPS;8;Endangered;Amphibians
498;Medionidus parvulus;Coosa moccasinshell;Wherever found;4;Endangered;Clams
499;Apodemia mormo langei;Lange's metalmark butterfly;Wherever found;8;Endangered;Insects
500;Pleurobema plenum;Rough pigtoe;"U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))";4;Experimental Population, Non-Essential;Clams
501;Rhynchopsitta pachyrhyncha;Thick-billed parrot;Wherever found;2;Endangered;Birds
502;Tulotoma magnifica;Tulotoma snail;Wherever found;4;Threatened;Snails
503;Arkansia wheeleri;Ouachita rock pocketbook;Wherever found;2;Endangered;Clams
504;Etheostoma percnurum;Duskytail darter;"U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(q)(1)(ii))";4;Experimental Population, Non-Essential;Fishes
505;Meda fulgida;Spikedace;Wherever found;2;Endangered;Fishes
506;Etheostoma susanae;Cumberland darter;Wherever found;4;Endangered;Fishes
507;Pleurobema marshalli;Flat pigtoe;Wherever found;4;Endangered;Clams
508;Quadrula stapes;Stirrupshell;Wherever found;4;Endangered;Clams
509;Branta (=Nesochen) sandvicensis;Hawaiian goose;Wherever found;1;Threatened;Birds
510;Leptotes cassius theonus;Cassius Blue Butterfly;Wherever found;4;Similarity of Appearance (Threatened);Insects
511;Etheostoma rubrum;Bayou darter;Wherever found;4;Threatened;Fishes
512;Myadestes lanaiensis rutha;Molokai thrush;Wherever found;1;Endangered;Birds
513;Moapa coriacea;Moapa dace;Wherever found;8;Endangered;Fishes
514;Fusconaia cor;Shiny pigtoe;"Wherever found; Except where listed as Experimental Populations";4;Endangered;Clams
515;Notropis topeka (=tristis);Topeka shiner;"U.S.A. (MO-specified portions of Little Creek, Big Muddy Creek, and Spring Creek watersheds in Adair, Gentry, Harrison, Putnam, Sullivan, and Worth Counties; see 17.84(d)(1)(i))";3;Experimental Population, Non-Essential;Fishes
516;Cottus specus;Grotto Sculpin;Wherever found;3;Endangered;Fishes
517;Pseudemys alabamensis;Alabama red-bellied turtle;Wherever found;4;Endangered;Reptiles
518;Speyeria callippe callippe;Callippe silverspot butterfly;Wherever found;8;Endangered;Insects
519;Lepidochelys kempii;Kemp's ridley sea turtle;Wherever found;2;Endangered;Reptiles
520;Epioblasma penita;Southern combshell;Wherever found;4;Endangered;Clams
521;Alasmidonta heterodon;Dwarf wedgemussel;Wherever found;5;Endangered;Clams
522;Pyrgulopsis chupaderae;Chupadera springsnail;Wherever found;2;Endangered;Snails
523;Hybognathus amarus;Rio Grande Silvery Minnow;Rio Grande, from Little Box Canyon to Amistad Dam;2;Experimental Population, Non-Essential;Fishes
524;Pleurobema collina;James spinymussel;Wherever found;5;Endangered;Clams
525;Elimia crenatella;Lacy elimia (snail);Wherever found;4;Threatened;Snails
526;Speyeria zerene behrensii;Behren's silverspot butterfly;Wherever found;8;Endangered;Insects
527;Kinosternon sonoriense longifemorale;Sonoyta mud turtle;Wherever found;2;Endangered;Reptiles
528;Gammarus desperatus;Noel's Amphipod;Wherever found;2;Endangered;Crustaceans
529;Ambystoma californiense;California tiger Salamander;U.S.A. (CA - Sonoma County);8;Endangered;Amphibians
530;Nicrophorus americanus;American burying beetle;Ex Pop, SW Missouri;3;Experimental Population, Non-Essential;Insects
531;Tartarocreagris texana;Tooth Cave pseudoscorpion;Wherever found;2;Endangered;Arachnids
532;Microhexura montivaga;Spruce-fir moss spider;Wherever found;4;Endangered;Arachnids
533;Puma (=Felis) concolor coryi;Florida panther;Wherever found;4;Endangered;Mammals
534;Eurycea naufragia;Georgetown Salamander;Wherever found;2;Threatened;Amphibians
535;Tamiasciurus hudsonicus grahamensis;Mount Graham red squirrel;Wherever found;2;Endangered;Mammals
536;Gila intermedia;Gila chub;Wherever found;2;Endangered;Fishes
537;Peltophryne lemur;Puerto Rican crested toad;Wherever found;4;Threatened;Amphibians
538;Acipenser transmontanus;White sturgeon;U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system;1;Endangered;Fishes
539;Ambystoma californiense;California tiger Salamander;U.S.A. (Central CA DPS);8;Threatened;Amphibians
540;Colinus virginianus ridgwayi;Masked bobwhite (quail);Wherever found;2;Endangered;Birds
541;Pituophis ruthveni;Louisiana pinesnake;Wherever found;4;Threatened;Reptiles
542;Euphilotes enoptes smithi;Smith's blue butterfly;Wherever found;8;Endangered;Insects
543;Drosophila tarphytrichia;Hawaiian picture-wing fly;Wherever found;1;Endangered;Insects
544;Graptemys oculifera;Ringed map turtle;Wherever found;4;Threatened;Reptiles
545;Cynomys parvidens;Utah prairie dog;Wherever found;6;Threatened;Mammals
546;Cyprinodon macularius;Desert pupfish;Wherever found;2;Endangered;Fishes
547;Gammarus acherondytes;Illinois cave amphipod;Wherever found;3;Endangered;Crustaceans
548;Rangifer tarandus ssp. caribou;Southern Mountain Caribou DPS;Southern Mountain DPS;1;Endangered;Mammals
549;Euphydryas editha bayensis;Bay checkerspot butterfly;Wherever found;8;Threatened;Insects
550;Plagopterus argentissimus;Woundfin;Wherever found, except where listed as an experimental population;6;Endangered;Fishes
551;Assiminea pecos;Pecos assiminea snail;Wherever found;2;Endangered;Snails
552;Chelonia mydas;Green sea turtle;South Atlantic DPS;4;Threatened;Reptiles
553;Neotoma floridana smalli;Key Largo woodrat;Wherever found;4;Endangered;Mammals
554;Erimonax monachus;Spotfin Chub;"U.S.A. (AL, TN-specified portions of Shoal Creek; see 17.84(m)(1)(ii))";4;Experimental Population, Non-Essential;Fishes
555;Gambusia heterochir;Clear Creek gambusia;Wherever found;2;Endangered;Fishes
556;Dionda diaboli;Devils River minnow;Wherever found;2;Threatened;Fishes
557;Pyrgulopsis ogmorhaphe;Royal marstonia (snail);Wherever found;4;Endangered;Snails
558;Empetrichthys latos;Pahrump poolfish;Wherever found;8;Endangered;Fishes
559;Pleurobema gibberum;Cumberland pigtoe;Wherever found;4;Endangered;Clams
560;Crystallaria cincotta;diamond Darter;Wherever found;5;Endangered;Fishes
561;Epioblasma torulosa rangiana;Northern riffleshell;Wherever found;5;Endangered;Clams
562;Pekania pennanti;Fisher;SSN DPS;8;Endangered;Mammals
563;Icaricia (Plebejus) shasta charlestonensis;Mount Charleston blue butterfly;Wherever found;8;Endangered;Insects
564;Drosophila heteroneura;Hawaiian picture-wing fly;Wherever found;1;Endangered;Insects
565;Athearnia anthonyi;Anthony's riversnail;"U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))";4;Experimental Population, Non-Essential;Snails
566;Bison bison athabascae;Wood Bison;Wherever found;7;Threatened;Mammals
567;Hylaeus hilaris;Hilaris yellow-faced bee;Wherever found;1;Endangered;Insects
568;Urocitellus brunneus;Northern Idaho Ground Squirrel;Wherever found;1;Threatened;Mammals
569;Etheostoma osburni;Candy darter;Wherever found;5;Endangered;Fishes
570;Pleurobema hanleyianum;Georgia pigtoe;Wherever found;4;Endangered;Clams
571;Megalagrion nesiotes;Flying earwig Hawaiian damselfly;Wherever found;1;Endangered;Insects
572;Ostodes strigatus;Snail [no common name];Wherever found;1;Endangered;Snails
573;Calidris canutus rufa;Red knot;Wherever found;5;Threatened;Birds
574;Accipiter striatus venator;Puerto Rican sharp-shinned hawk;Wherever found;4;Endangered;Birds
575;Lampsilis subangulata;Shinyrayed pocketbook;Wherever found;4;Endangered;Clams
576;Dipodomys ingens;Giant kangaroo rat;Wherever found;8;Endangered;Mammals
577;Hylaeus longiceps;Hawaiian yellow-faced bee;Wherever found;1;Endangered;Insects
578;Epioblasma capsaeformis;Oyster mussel;"U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))";4;Experimental Population, Non-Essential;Clams
579;Pleurobema clava;Clubshell;"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL";4;Experimental Population, Non-Essential;Clams
580;Rana pretiosa;Oregon spotted frog;Wherever found;1;Threatened;Amphibians
581;Quadrula intermedia;Cumberland monkeyface (pearlymussel);"U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))";4;Experimental Population, Non-Essential;Clams
582;Urocyon littoralis catalinae;Santa Catalina Island Fox;Wherever found;8;Threatened;Mammals
583;Pleurobema furvum;Dark pigtoe;Wherever found;4;Endangered;Clams
584;Cicurina baronia;Robber Baron Cave Meshweaver;Wherever found;2;Endangered;Arachnids
585;Caretta caretta;Loggerhead sea turtle;North Pacific Ocean DPS;4;Endangered;Reptiles
